SIDO,VISIT_AREA_NM,GUNGU,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
부산,부평깡통시장,중구,4,55.17857142857143,4.125,0.5178571428571429,1.1428571428571428,4.160714285714286
부산,용두산공원,중구,2,41.73913043478261,3.782608695652174,0.6086956521739131,0.6956521739130435,3.608695652173913
부산,송정 해수욕장,해운대구,1,78.13953488372093,4.418604651162791,0.3720930232558139,1.627906976744186,4.441860465116279
부산,부산 시립미술관,해운대구,3,52.0,4.466666666666667,0.4,1.1333333333333333,4.466666666666667
부산,다이아몬드타워,중구,6,65.0,3.6666666666666665,0.1666666666666666,1.1666666666666667,3.6666666666666665
부산,감천문화마을,사하구,7,71.66666666666667,4.333333333333333,0.2222222222222222,1.2777777777777777,4.111111111111111
부산,태종대,영도구,1,81.81818181818181,3.878787878787879,0.3939393939393939,1.2424242424242424,3.9696969696969697
부산,송도해상케이블카 송도베이스테이션,서구,6,72.0,4.466666666666667,0.0,1.6,4.333333333333333
부산,죽성드림세트장,기장군,2,41.53846153846154,4.384615384615385,0.0,1.6153846153846154,4.0
부산,범어사,금정구,2,51.42857142857143,4.571428571428571,0.1428571428571428,1.7142857142857142,4.571428571428571
부산,해동용궁사,기장군,2,61.09090909090909,4.472727272727273,0.2909090909090909,1.4181818181818182,4.363636363636363
부산,신세계백화점 센텀시티점,해운대구,4,93.55932203389833,4.508474576271187,0.559322033898305,0.9830508474576272,4.457627118644068
부산,해운대 전통시장,해운대구,4,39.375,3.9375,0.375,0.96875,3.8125
부산,해운대 해수욕장,해운대구,1,55.35398230088496,4.433628318584071,0.7699115044247787,1.3982300884955752,4.424778761061947
부산,롯데프리미엄아울렛 동부산점,기장군,4,77.6470588235294,3.823529411764706,0.4705882352941176,1.1764705882352942,3.7058823529411766
부산,BIFF 광장,중구,4,50.57142857142857,3.7714285714285714,0.7142857142857143,0.8857142857142857,3.657142857142857
부산,광안리 해수욕장,수영구,1,62.04,4.648,0.76,1.088,4.608
부산,피아크,영도구,3,100.0,4.166666666666667,0.1666666666666666,1.0,3.8333333333333335
부산,뮤지엄 원,해운대구,3,64.28571428571429,4.714285714285714,0.2857142857142857,1.1428571428571428,4.714285714285714
부산,수영만 요트경기장,해운대구,5,82.5,4.6875,0.125,2.0625,4.625
부산,라이언 홀리데이 인 부산,해운대구,3,54.0,3.466666666666667,0.0,1.0666666666666669,3.0
부산,동백섬,해운대구,1,50.35714285714285,4.428571428571429,0.25,0.9285714285714286,4.392857142857143
부산,흰여울문화마을,영도구,7,73.72340425531915,4.382978723404255,0.2127659574468085,0.8617021276595744,4.170212765957447
부산,해운대 블루라인파크,해운대구,1,62.54237288135593,4.271186440677966,0.0508474576271186,1.3898305084745763,4.11864406779661
부산,밀락 더 마켓,수영구,4,57.391304347826086,4.159420289855072,0.1739130434782608,1.0869565217391304,3.942028985507247
부산,롯데백화점 광복점,중구,4,63.46153846153846,4.307692307692308,0.5,0.9230769230769232,4.307692307692308
부산,영화의전당,해운대구,3,64.28571428571429,4.571428571428571,0.0,0.8571428571428571,3.7142857142857135
부산,부산요트투어,해운대구,5,87.6923076923077,4.769230769230769,0.0769230769230769,1.0769230769230769,4.6923076923076925
부산,청사포 다릿돌 전망대,해운대구,1,36.0,4.2,0.0,1.3,4.1
부산,자갈치시장,중구,4,54.0,3.657142857142857,0.4571428571428571,1.1428571428571428,3.742857142857143
부산,롯데백화점 부산본점,부산진구,4,68.10810810810811,4.108108108108108,0.4054054054054054,0.945945945945946,4.1891891891891895
부산,서면 1번가,부산진구,4,70.0,3.952380952380953,0.6666666666666666,0.9523809523809524,3.952380952380953
부산,송도 해수욕장,서구,1,52.0,3.733333333333333,0.3333333333333333,0.7333333333333333,3.6666666666666665
부산,더베이101,해운대구,1,61.5,4.35,0.35,1.45,4.25
부산,황령산,부산진구,1,56.25,4.875,0.125,1.0,4.625
부산,국제시장,중구,4,54.0,3.630769230769231,0.4923076923076923,0.9384615384615383,3.615384615384616
부산,씨라이프 부산아쿠아리움,해운대구,6,124.28571428571428,4.285714285714286,0.4285714285714285,2.0,4.142857142857143
부산,민락수변공원,수영구,4,60.0,4.1923076923076925,0.3846153846153846,1.2307692307692308,4.1923076923076925
부산,오륙도 스카이워크,남구,1,39.0,4.3,0.1,1.0,4.1
부산,부산시민공원,부산진구,1,69.0,4.4,0.3,1.2,4.4
부산,국립해양박물관,영도구,2,85.0,4.416666666666667,0.0,1.0,4.25
부산,초량 차이나타운,동구,4,52.10526315789474,3.421052631578948,0.2105263157894736,1.105263157894737,3.473684210526316
부산,영도대교,영도구,1,36.66666666666666,3.888888888888889,0.3333333333333333,0.6666666666666666,4.0
